nome,sexo,instituicao,uf,nivel_bolsa,area_atuacao,ano_conclusao_doutorado,url,google_scholar,vigencia_inicio,vigencia_termino,situacao
Graçaliz Pereira Dimuro,Indefinido,FURG,RS,PQ-1C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Graçaliz+Pereira+Dimuro,,01/03/2024,31/07/2028,Em folha de pagamento
Guido Costa Souza de Araújo,Masculino,UNICAMP,SP,PQ-1B,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Guido+Costa+Souza+de+Araújo,,01/03/2022,31/07/2026,Em folha de pagamento
Guilherme Horta Travassos,Masculino,UFRJ,RJ,PQ-1C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Guilherme+Horta+Travassos,,01/03/2023,31/07/2027,Em folha de pagamento
Guilherme Oliveira Mota,Masculino,USP,SP,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Guilherme+Oliveira+Mota,,01/03/2024,31/07/2027,Em folha de pagamento
Guilherme Piêgas Koslovski,Masculino,UDESC,SC,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Guilherme+Piêgas+Koslovski,,01/08/2025,31/07/2028,Em folha de pagamento
Guilherme Pimentel Telles,Masculino,UNICAMP,SP,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Guilherme+Pimentel+Telles,,01/08/2025,31/07/2028,Em folha de pagamento
Gustavo Bittencourt Figueiredo,Masculino,UFBA,BA,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gustavo+Bittencourt+Figueiredo,,01/03/2024,31/07/2027,Em folha de pagamento
Gustavo Henrique Lima Pinto,Masculino,UFPA,PA,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gustavo+Henrique+Lima+Pinto,,01/03/2023,31/07/2026,Em folha de pagamento
Gustavo Pessin,Masculino,ITV,PA,PQ-1D,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gustavo+Pessin,,01/03/2024,31/07/2028,Em folha de pagamento
Gustavo Rau de Almeida Callou,Masculino,UFRPE,PE,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gustavo+Rau+de+Almeida+Callou,,01/08/2025,31/07/2028,Em folha de pagamento
